Transparent Silicone-Molar,Black Silicone-Canine,White Gypsum-Molar,White Gypsum-Canine,Green Gypsum-Molar,Gree Gypsum-Canine,Acrylic-Molar,Acrylic-Canine
0.02335,0.01434,0.03007,0.0183,0.06411,0.0449,0.11451,0.10502
0.01741,0.01043,0.02367,0.01378,0.06442,0.04528,0.09411,0.08534
0.01285,0.00751,0.01849,0.01028,0.06469,0.04563,0.07681,0.06882
0.00939,0.00534,0.01432,0.00759,0.06493,0.04595,0.06224,0.05508
0.00679,0.00376,0.011,0.00555,0.06513,0.04625,0.05007,0.04375
0.00486,0.00261,0.00838,0.00402,0.0653,0.04652,0.04,0.03449
0.00345,0.0018,0.00634,0.00288,0.06543,0.04677,0.03172,0.02698
0.00242,0.00122,0.00475,0.00205,0.06552,0.04698,0.02497,0.02094
0.00168,8.20E-04,0.00353,0.00144,0.06557,0.04717,0.01951,0.01613
0.00115,5.50E-04,0.0026,1.00E-03,0.06559,0.04733,0.01513,0.01232
7.80E-04,3.60E-04,0.00189,6.90E-04,0.06557,0.04746,0.01165,0.00933
5.30E-04,2.40E-04,0.00137,4.70E-04,0.06551,0.04756,0.00889,0.00701
3.50E-04,1.50E-04,9.80E-04,3.20E-04,0.06541,0.04763,0.00673,0.00521
2.30E-04,1.00E-04,6.90E-04,2.10E-04,0.06528,0.04767,0.00505,0.00384
1.50E-04,6.00E-05,4.80E-04,1.40E-04,0.06511,0.04768,0.00375,0.0028
9.00E-05,4.00E-05,3.30E-04,9.00E-05,0.0649,0.04767,0.00276,0.00201
6.00E-05,3.00E-05,2.20E-04,6.00E-05,0.06466,0.04762,0.002,0.00143
4.00E-05,2.00E-05,1.40E-04,4.00E-05,0.06438,0.04755,0.00143,9.90E-04
2.00E-05,1.00E-05,9.00E-05,2.00E-05,0.06406,0.04744,1.00E-03,6.70E-04
1.00E-05,1.00E-05,5.00E-05,1.00E-05,0.06371,0.04731,6.80E-04,4.40E-04
1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.06333,0.04715,4.50E-04,2.70E-04
0,0,0,0,0.06291,0.04696,2.80E-04,1.50E-04
0,0,0,0,0.06245,0.04674,1.50E-04,6.00E-05
0,0,0,0,0.06197,0.04649,6.00E-05,0
0,0,0,0,0.06145,0.04622,0,0
